username,degree,eigenvector_centrality,closeness_centrality,betweeness_centrality,pagerank
dr_koko28,455,0.0003119111187845794,0.9420289855072463,0.0,0.4258778930312928
prfmnews,23,1.5795231507341404e-05,0.047619047619047616,0.0,0.02185331365781042
alinggabuana_,5,0.9999999512295316,0.006211180124223602,0.0,0.019262760349424556
evalez_fr,2,1.4007092091416004e-06,0.004140786749482402,0.0,0.002583742600528567
clickbandung,1,7.15255766370179e-07,0.002070393374741201,0.0,0.001607700122354418
biano64,3,2.980232359875746e-08,0.0,0.0,0.0011039970568655446
jumhanatintin,2,2.980232359875746e-08,0.0,0.0,0.0011039970568655446
gungung49169853,2,2.980232359875746e-08,0.0,0.0,0.0011039970568655446
kopi_laut,2,2.980232359875746e-08,0.0,0.0,0.0011039970568655446
widaoktavia1,1,2.980232359875746e-08,0.0,0.0,0.0011039970568655446
